60.10|60.10|600|600|0|1.00|1.80|1|60.00|1.50
0.00|0.00|0|0|0|NaN|0.00|0|0.00|0.00
299.80|299.80|3000|3000|0|1.00|4.30|20|298.90|3.30
0.00|0.00|0|0|0|NaN|0.00|0|0.00|0.00
0.00|0.00|0|0|0|NaN|0.00|0|0.00|0.00
0.00|0.00|0|0|0|NaN|0.00|0|0.00|0.00
0.00|0.00|0|0|0|NaN|0.00|0|0.00|0.00
0.00|0.00|0|0|0|NaN|0.00|0|0.00|0.00
0.00|0.00|0|0|0|NaN|0.00|0|0.00|0.00
0.00|0.00|0|0|0|NaN|0.00|0|0.00|0.00
0.00|0.00|0|0|0|NaN|0.00|0|0.00|0.00
180.10|180.10|1800|1800|0|1.00|2.20|16|180.00|1.60
180.10|180.10|1800|1800|0|1.00|4.20|21|180.00|2.70
0.00|0.00|0|0|0|NaN|0.00|0|0.00|0.00
0.00|0.00|0|0|0|NaN|0.00|0|0.00|0.00
0.00|0.00|0|0|0|NaN|0.00|0|0.00|0.00
0.00|0.00|0|0|0|NaN|0.00|0|0.00|0.00
